"zip_code","taxa_inad_temp","Risco_zip_code_BIN"
"451xx",0.186440677966102,"Risk2"
"452xx",0.171735241502683,"Risk2"
"453xx",0.179153094462541,"Risk2"
"454xx",0.167272727272727,"Risk2"
"455xx",0.26984126984127,"Risk3"
"456xx",0.248520710059172,"Risk3"
"457xx",0.217391304347826,"Risk3"
"458xx",0.18942731277533,"Risk2"
"460xx",0.198067632850242,"Risk3"
"461xx",0.190366972477064,"Risk2"
"462xx",0.187948350071736,"Risk2"
"463xx",0.180385288966725,"Risk2"
"464xx",0.219178082191781,"Risk3"
"465xx",0.204152249134948,"Risk3"
"466xx",0.131578947368421,"Risk1"
"467xx",0.166666666666667,"Risk2"
"468xx",0.152046783625731,"Risk1"
"469xx",0.18125,"Risk2"
"470xx",0.179775280898876,"Risk2"
"471xx",0.154255319148936,"Risk1"
"472xx",0.185185185185185,"Risk2"
"473xx",0.170068027210884,"Risk2"
"474xx",0.102564102564103,"Risk1"
"475xx",0.17283950617284,"Risk2"
"476xx",0.1375,"Risk1"
"477xx",0.282051282051282,"Risk3"
"478xx",0.191919191919192,"Risk2"
"479xx",0.204678362573099,"Risk3"
"480xx",0.189568706118355,"Risk2"
"481xx",0.175708502024291,"Risk2"
"482xx",0.220472440944882,"Risk3"
"483xx",0.158653846153846,"Risk1"
"484xx",0.169230769230769,"Risk2"
"485xx",0.238805970149254,"Risk3"
"486xx",0.168604651162791,"Risk2"
"487xx",0.168224299065421,"Risk2"
"488xx",0.163978494623656,"Risk2"
"489xx",0.276190476190476,"Risk3"
"490xx",0.16986301369863,"Risk2"
"491xx",0.169230769230769,"Risk2"
"492xx",0.181818181818182,"Risk2"
"493xx",0.208333333333333,"Risk3"
"494xx",0.165413533834587,"Risk2"
"495xx",0.0981308411214953,"Risk1"
"496xx",0.151079136690648,"Risk1"
"497xx",0.152542372881356,"Risk1"
"498xx",0.146341463414634,"Risk1"
"499xx",0.142857142857143,"Risk1"
"500xx",0,"Risk1"
"510xx",0,"Risk1"
"511xx",0,"Risk1"
"513xx",1,"Risk3"
"516xx",1,"Risk3"
"523xx",0,"Risk1"
"524xx",1,"Risk3"
"527xx",0,"Risk1"
"530xx",0.183770883054893,"Risk2"
"531xx",0.166666666666667,"Risk2"
"532xx",0.158482142857143,"Risk1"
"534xx",0.0701754385964912,"Risk1"
"535xx",0.119496855345912,"Risk1"
"537xx",0.129496402877698,"Risk1"
"538xx",0.0526315789473684,"Risk1"
"539xx",0.146341463414634,"Risk1"
"540xx",0.145454545454545,"Risk1"
"541xx",0.125,"Risk1"
"542xx",0.125,"Risk1"
"543xx",0.157894736842105,"Risk1"
"544xx",0.181318681318681,"Risk2"
"545xx",0.146341463414634,"Risk1"
"546xx",0.165217391304348,"Risk2"
"547xx",0.17910447761194,"Risk2"
"548xx",0.183673469387755,"Risk2"
"549xx",0.174887892376682,"Risk2"
"550xx",0.184724689165187,"Risk2"
"551xx",0.194486983154671,"Risk3"
"553xx",0.171617161716172,"Risk2"
"554xx",0.177117711771177,"Risk2"
"556xx",0.166666666666667,"Risk2"
"557xx",0.183673469387755,"Risk2"
"558xx",0.164556962025316,"Risk2"
"559xx",0.170212765957447,"Risk2"
"560xx",0.22279792746114,"Risk3"
"561xx",0.203703703703704,"Risk3"
"562xx",0.23469387755102,"Risk3"
"563xx",0.21,"Risk3"
"564xx",0.148148148148148,"Risk1"
"565xx",0.138297872340426,"Risk1"
"566xx",0.0980392156862745,"Risk1"
"567xx",0.162790697674419,"Risk2"
"570xx",0.172413793103448,"Risk2"
"571xx",0.15625,"Risk1"
"572xx",0.153846153846154,"Risk1"
"573xx",0.1,"Risk1"
"574xx",0.263157894736842,"Risk3"
"575xx",0.15625,"Risk1"
"576xx",0.222222222222222,"Risk3"
"577xx",0.20353982300885,"Risk3"
"582xx",0,"Risk1"
"587xx",1,"Risk3"
"590xx",0.181818181818182,"Risk2"
"591xx",0.18018018018018,"Risk2"
"592xx",0.266666666666667,"Risk3"
"593xx",0.0967741935483871,"Risk1"
"594xx",0.148148148148148,"Risk1"
"595xx",0.0952380952380952,"Risk1"
"596xx",0.194029850746269,"Risk3"
"597xx",0.166666666666667,"Risk2"
"598xx",0.155172413793103,"Risk1"
"599xx",0.158415841584158,"Risk1"
"600xx",0.1584,"Risk1"
"601xx",0.151368760064412,"Risk1"
"602xx",0.0847457627118644,"Risk1"
"603xx",0.0655737704918033,"Risk1"
"604xx",0.160377358490566,"Risk1"
"605xx",0.143179255918828,"Risk1"
"606xx",0.13682358117026,"Risk1"
"607xx",0.16,"Risk1"
"608xx",0.118421052631579,"Risk1"
"609xx",0.118181818181818,"Risk1"
"610xx",0.15979381443299,"Risk1"
"611xx",0.174193548387097,"Risk2"
"612xx",0.218181818181818,"Risk3"
"613xx",0.247422680412371,"Risk3"
"614xx",0.126760563380282,"Risk1"
"615xx",0.196261682242991,"Risk3"
"616xx",0.164835164835165,"Risk2"
"617xx",0.189393939393939,"Risk2"
"618xx",0.163398692810458,"Risk2"
"619xx",0.113636363636364,"Risk1"
"620xx",0.122905027932961,"Risk1"
"622xx",0.197058823529412,"Risk3"
"623xx",0.137254901960784,"Risk1"
"624xx",0.0983606557377049,"Risk1"
"625xx",0.144329896907217,"Risk1"
"626xx",0.168067226890756,"Risk2"
"627xx",0.228260869565217,"Risk3"
"628xx",0.137254901960784,"Risk1"
"629xx",0.177083333333333,"Risk2"
"630xx",0.182,"Risk2"
"631xx",0.205828779599271,"Risk3"
"633xx",0.17283950617284,"Risk2"
"634xx",0.189189189189189,"Risk2"
"635xx",0.428571428571429,"Risk3"
"636xx",0.288461538461538,"Risk3"
"637xx",0.225352112676056,"Risk3"
"638xx",0.27027027027027,"Risk3"
"639xx",0.153846153846154,"Risk1"
"640xx",0.187007874015748,"Risk2"
"641xx",0.170731707317073,"Risk2"
"644xx",0.2,"Risk3"
"645xx",0.174603174603175,"Risk2"
"646xx",0.142857142857143,"Risk1"
"647xx",0.216666666666667,"Risk3"
"648xx",0.233576642335766,"Risk3"
"650xx",0.206521739130435,"Risk3"
"651xx",0.177777777777778,"Risk2"
"652xx",0.181818181818182,"Risk2"
"653xx",0.203703703703704,"Risk3"
"654xx",0.19047619047619,"Risk2"
"655xx",0.301587301587302,"Risk3"
"656xx",0.144329896907217,"Risk1"
"657xx",0.2125,"Risk3"
"658xx",0.198717948717949,"Risk3"
"660xx",0.108490566037736,"Risk1"
"661xx",0.123595505617978,"Risk1"
"662xx",0.123893805309734,"Risk1"
"663xx",0,"Risk1"
"664xx",0.152542372881356,"Risk1"
"665xx",0.144329896907217,"Risk1"
"666xx",0.12396694214876,"Risk1"
"667xx",0.181818181818182,"Risk2"
"668xx",0.121212121212121,"Risk1"
"669xx",0.307692307692308,"Risk3"
"670xx",0.11864406779661,"Risk1"
"671xx",0.0975609756097561,"Risk1"
"672xx",0.187713310580205,"Risk2"
"673xx",0.0714285714285715,"Risk1"
"674xx",0.123456790123457,"Risk1"
"675xx",0.171052631578947,"Risk2"
"676xx",0.119047619047619,"Risk1"
"677xx",0.181818181818182,"Risk2"
"678xx",0.175,"Risk2"
"679xx",0.210526315789474,"Risk3"
"680xx",0,"Risk1"
"681xx",0.5,"Risk3"
"682xx",1,"Risk3"
"685xx",0,"Risk1"
"700xx",0.19647355163728,"Risk3"
"701xx",0.194444444444444,"Risk3"
"703xx",0.229885057471264,"Risk3"
"704xx",0.179856115107914,"Risk2"
"705xx",0.241192411924119,"Risk3"
"706xx",0.244274809160305,"Risk3"
"707xx",0.134615384615385,"Risk1"
"708xx",0.214285714285714,"Risk3"
"710xx",0.263157894736842,"Risk3"
"711xx",0.18421052631579,"Risk2"
"712xx",0.171232876712329,"Risk2"
"713xx",0.17283950617284,"Risk2"
"714xx",0.25,"Risk3"
"716xx",0.224719101123595,"Risk3"
"717xx",0.192307692307692,"Risk2"
"718xx",0.288888888888889,"Risk3"
"719xx",0.137931034482759,"Risk1"
"720xx",0.217241379310345,"Risk3"
"721xx",0.185185185185185,"Risk2"
"722xx",0.269736842105263,"Risk3"
"723xx",0.218390804597701,"Risk3"
"724xx",0.263157894736842,"Risk3"
"725xx",0.155555555555556,"Risk1"
"726xx",0.16,"Risk1"
"727xx",0.162241887905605,"Risk2"
"728xx",0.149253731343284,"Risk1"
"729xx",0.23943661971831,"Risk3"
"730xx",0.160839160839161,"Risk1"
"731xx",0.193820224719101,"Risk2"
"734xx",0.173913043478261,"Risk2"
"735xx",0.290598290598291,"Risk3"
"736xx",0.36,"Risk3"
"737xx",0.25,"Risk3"
"738xx",0.529411764705882,"Risk3"
"739xx",0.31578947368421,"Risk3"
"740xx",0.20979020979021,"Risk3"
"741xx",0.230769230769231,"Risk3"
"743xx",0.137254901960784,"Risk1"
"744xx",0.208333333333333,"Risk3"
"745xx",0.172413793103448,"Risk2"
"746xx",0.142857142857143,"Risk1"
"747xx",0.227272727272727,"Risk3"
"748xx",0.226666666666667,"Risk3"
"749xx",0.234042553191489,"Risk3"
"750xx",0.156323644933229,"Risk1"
"751xx",0.192192192192192,"Risk2"
"752xx",0.136682242990654,"Risk1"
"753xx",0.384615384615385,"Risk3"
"754xx",0.114035087719298,"Risk1"
"755xx",0.0967741935483871,"Risk1"
"756xx",0.192307692307692,"Risk2"
"757xx",0.186363636363636,"Risk2"
"758xx",0.142857142857143,"Risk1"
"759xx",0.206896551724138,"Risk3"
"760xx",0.194264569842738,"Risk3"
"761xx",0.156687898089172,"Risk1"
"762xx",0.175438596491228,"Risk2"
"763xx",0.23469387755102,"Risk3"
"764xx",0.185714285714286,"Risk2"
"765xx",0.221445221445221,"Risk3"
"766xx",0.152941176470588,"Risk1"
"767xx",0.162162162162162,"Risk2"
"768xx",0.121951219512195,"Risk1"
"769xx",0.25,"Risk3"
"770xx",0.170473537604457,"Risk2"
"772xx",0.166666666666667,"Risk2"
"773xx",0.160919540229885,"Risk2"
"774xx",0.168115942028985,"Risk2"
"775xx",0.165259348612787,"Risk2"
"776xx",0.166666666666667,"Risk2"
"777xx",0.175438596491228,"Risk2"
"778xx",0.155844155844156,"Risk1"
"779xx",0.17283950617284,"Risk2"
"780xx",0.185964912280702,"Risk2"
"781xx",0.21011673151751,"Risk3"
"782xx",0.183419689119171,"Risk2"
"783xx",0.216981132075472,"Risk3"
"784xx",0.194117647058823,"Risk3"
"785xx",0.166998011928429,"Risk2"
"786xx",0.127962085308057,"Risk1"
"787xx",0.103448275862069,"Risk1"
"788xx",0.189473684210526,"Risk2"
"789xx",0.107142857142857,"Risk1"
"790xx",0.176,"Risk2"
"791xx",0.222929936305732,"Risk3"
"792xx",0.233333333333333,"Risk3"
"793xx",0.169230769230769,"Risk2"
"794xx",0.164634146341463,"Risk2"
"795xx",0.183333333333333,"Risk2"
"796xx",0.24390243902439,"Risk3"
"797xx",0.258181818181818,"Risk3"
"798xx",0.2,"Risk3"
"799xx",0.201013513513514,"Risk3"
"800xx",0.146808510638298,"Risk1"
"801xx",0.130727762803235,"Risk1"
"802xx",0.126459143968872,"Risk1"
"803xx",0.0746268656716418,"Risk1"
"804xx",0.14792899408284,"Risk1"
"805xx",0.122222222222222,"Risk1"
"806xx",0.109489051094891,"Risk1"
"807xx",0.188679245283019,"Risk2"
"808xx",0.201834862385321,"Risk3"
"809xx",0.158562367864693,"Risk1"
"810xx",0.203488372093023,"Risk3"
"811xx",0.115384615384615,"Risk1"
"812xx",0.215686274509804,"Risk3"
"813xx",0.222222222222222,"Risk3"
"814xx",0.12,"Risk1"
"815xx",0.16260162601626,"Risk2"
